Jugador,Equipo,Arquetipo Ofensivo,Arquetipo Defensivo,POISE Ofensivo,POISE Defensivo,POISE Total,Valor Scoring,Valor Spacing,Valor Passing,Valor Rim Protection,Valor Rebounding
Rubi Lumly,PHO,General,Baja actividad,4.7,6.3,-0.2,4.5,2.2,9.0,5.4,2.3
Riobard Cyseley,DET,Tirador,Bloqueos,4.8,9.9,0.9,3.4,0.2,4.3,0.2,3.8
Ermin Low,BRK,General,Bloqueos,13.0,1.1,10.8,6.8,6.9,3.0,5.6,0.2
Salim Sewley,ORL,General,Baja actividad,13.7,11.6,-6.4,3.5,7.3,2.2,7.9,3.9
Monro Langhorne,ORL,General,Protector del aro,10.3,1.3,24.3,8.9,5.4,5.7,6.4,1.0
Ann Vuittet,MIL,Creador,Bloqueos,-4.7,8.5,-5.6,6.1,7.6,0.7,8.2,2.2
Jackelyn Taylor,CHO,General,Perimetral,9.1,-1.4,20.0,9.5,0.1,8.3,7.6,2.2
Ingra Barnsdale,CHI,Creador,Bloqueos,10.3,7.6,25.6,9.8,5.9,2.4,8.4,0.9
Terrell Ferrers,CHO,Roller,Reboteador,10.5,11.2,26.5,0.1,7.8,6.9,8.0,3.3
Leese Hicken,DET,Tirador estatico,Perimetral,-3.2,8.1,-2.1,0.4,3.8,3.1,9.2,0.8
Baldwin Garshore,ORL,Creador,Bloqueos,7.8,9.1,-3.0,2.9,5.5,5.3,2.8,3.2
Katha Hanford,MIA,General,Bloqueos,14.6,0.7,14.8,2.4,2.5,5.8,8.1,2.9
Trish Autry,DEN,General,Baja actividad,13.4,7.8,21.8,2.5,2.5,9.4,2.6,1.1
Isadora McCulley,NYK,General,Bloqueos,6.5,11.4,23.7,2.6,8.3,3.2,5.3,0.2
Samara Craigmile,ATL,Creador,Protector del aro,8.3,6.6,9.0,2.5,5.0,6.5,6.0,1.1
Jessalyn O'Crotty,WAS,Tirador estatico,Reboteador,-2.0,4.1,13.2,5.1,9.3,8.0,7.5,1.3
Boris Hansed,DAL,General,Baja actividad,-0.2,11.9,-7.7,5.8,4.0,5.7,8.7,1.6
Syman Paintain,IND,General,Reboteador,12.4,-1.6,-7.6,9.7,8.1,9.2,4.1,0.1
Kaylee McAsgill,PHI,General,Perimetral,-4.2,-1.0,13.5,4.4,3.0,6.6,8.7,2.3
Isak Jorioz,CHO,Roller,Reboteador,8.4,5.4,25.4,4.6,3.2,9.5,7.1,1.6
Frederik Regitz,CHO,Roller,Bloqueos,3.9,-1.8,14.8,2.7,7.8,2.1,7.4,0.4
Sallyann Stiffell,ATL,Roller,Bloqueos,2.9,-0.1,10.1,6.0,6.4,9.6,7.9,0.6
Con Braganza,CLE,Tirador estatico,Bloqueos,13.0,3.9,-5.2,4.5,3.3,5.3,6.3,0.8
Ophelia Borles,CHO,Tirador estatico,Reboteador,-4.0,-1.3,-4.3,8.6,4.9,3.8,0.9,1.9
Izaak Sutheran,CHI,General,Protector del aro,8.6,-1.9,-2.9,8.6,7.6,2.2,2.3,2.4
Justine Ruby,DAL,Tirador,Perimetral,2.6,4.3,-3.3,3.9,6.7,2.0,7.6,1.7
Maximilianus Tuckwood,ATL,General,Reboteador,-3.7,5.9,-6.9,3.2,1.3,9.2,6.3,1.7
Boris Brinicombe,PHO,Creador,Bloqueos,8.6,9.7,20.0,0.6,9.2,1.4,4.3,0.1
Sondra Adamoli,CHI,Creador,Baja actividad,5.1,5.1,18.1,3.4,0.3,8.5,9.2,3.9
Sheridan McGuffog,CHI,Creador,Bloqueos,-4.9,10.3,-4.4,0.2,6.3,3.1,5.8,3.3
Vickie Sheron,OKC,General,Baja actividad,7.7,9.7,-1.1,3.6,6.3,6.4,8.6,0.4
Matilde Baxandall,PHO,Roller,Bloqueos,-2.1,-2.7,18.8,7.7,8.5,7.2,6.9,1.0
Ashia Scutts,MIA,Tirador,Reboteador,-2.3,8.2,13.5,7.6,9.9,5.1,0.8,0.1
Tani Stukings,BRK,Roller,Baja actividad,-3.5,8.3,7.8,6.9,5.0,6.0,7.0,3.3
Leone Nacey,MIN,General,Reboteador,6.5,10.9,5.0,4.2,2.3,1.0,3.7,0.0
Kimble Zeale,BOS,Tirador,Perimetral,5.6,-0.7,1.3,8.1,4.8,0.4,5.2,1.7
Hewitt Leith,MIN,Roller,Bloqueos,4.8,0.1,3.6,9.1,0.6,1.4,9.1,0.0
Douglas Biasioli,ORL,General,Perimetral,13.4,-0.8,13.1,2.5,10.0,9.2,4.2,2.9
Elsey Easeman,TOR,General,Perimetral,-0.8,9.9,-1.6,6.4,7.2,7.3,8.1,1.3
Fabe Cromley,TOR,Creador,Bloqueos,4.3,5.0,6.8,8.1,6.4,4.8,7.7,3.4
Berkly Giron,ORL,Roller,Reboteador,2.5,10.0,12.4,9.3,1.5,9.1,6.4,0.2
Annis Spadazzi,BOS,General,Protector del aro,-0.5,0.6,11.4,0.8,8.5,6.9,2.9,2.3
Miran Waterman,MIA,General,Bloqueos,-4.9,-1.4,5.2,8.9,8.5,3.4,9.3,1.6
Chance Towl,WAS,Creador,Perimetral,0.6,11.7,0.7,1.7,0.5,0.2,1.9,1.6
Ryun Lamcken,DAL,General,Bloqueos,6.2,4.0,4.2,7.0,8.9,3.8,9.8,0.1
Ade Callway,ATL,Tirador,Baja actividad,6.9,0.7,8.4,8.0,5.2,2.0,2.1,0.8
Fayre Witheford,MIN,General,Baja actividad,1.6,7.2,1.4,3.6,4.2,5.6,1.4,3.8
Rhona Servante,BOS,Tirador,Baja actividad,7.8,6.5,22.8,1.5,8.3,6.9,9.6,2.5
Cheslie Boag,WAS,General,Reboteador,-0.2,6.3,-2.3,7.0,1.1,4.0,7.6,0.5
Boigie Godden,MIN,Tirador,Bloqueos,-2.5,10.5,26.0,3.2,7.8,7.7,0.6,2.6
Shaughn Markie,CLE,General,Reboteador,10.1,11.6,16.7,8.5,8.9,1.5,7.1,3.1
Garrard Awton,CHO,Tirador estatico,Bloqueos,5.3,7.2,11.2,7.4,6.2,8.0,0.8,1.7
Kaile Standon,TOR,General,Protector del aro,-1.6,1.7,-7.2,9.6,6.4,0.4,4.7,1.3
Petronille Devey,TOR,Roller,Protector del aro,1.0,5.2,6.5,0.2,7.5,4.2,5.7,1.6
Rina Figures,DAL,General,Protector del aro,-2.7,5.6,0.5,2.8,4.3,4.1,2.1,2.5
Herminia Sheryne,DAL,Creador,Reboteador,-4.5,0.5,25.2,9.7,1.1,4.9,8.6,2.3
Valeria Male,MIA,Roller,Perimetral,13.5,1.3,-7.2,7.9,4.7,8.9,8.6,3.0
Alphonse Vigers,CHO,General,Baja actividad,-0.9,9.7,-0.8,9.4,6.9,4.0,4.3,3.8
Dom Braddon,MIA,Creador,Bloqueos,-1.4,6.5,-0.7,7.7,3.3,9.5,8.3,3.6
Cash Hazley,MIA,Roller,Protector del aro,1.9,7.5,0.1,4.3,5.7,4.1,6.6,0.5
Cos Chevins,PHO,Tirador,Reboteador,-2.4,7.2,1.5,1.3,9.8,4.2,2.6,0.3
Waverley Belsham,DEN,Tirador estatico,Protector del aro,9.1,0.8,7.2,3.5,8.4,2.4,1.2,2.9
Gilburt Brosnan,CLE,Tirador estatico,Bloqueos,5.7,10.9,1.0,8.8,4.7,3.2,0.4,0.8
Edi Tommei,TOR,Tirador estatico,Protector del aro,1.7,11.5,-7.6,5.3,6.4,6.8,6.0,1.2
Gisela Fansy,WAS,Roller,Protector del aro,-4.1,-0.7,17.4,0.6,1.8,3.8,5.9,3.4
Juline Treleaven,DEN,Tirador,Reboteador,3.6,2.0,-5.3,7.4,7.0,8.5,9.7,2.3
Marsh Kahler,CHI,Tirador,Perimetral,14.8,11.9,19.1,6.6,3.0,2.6,4.3,2.8
Blondy York,MIL,Tirador estatico,Perimetral,5.4,-2.2,-2.0,3.2,8.2,5.6,0.2,0.9
Scott Ducroe,DET,Roller,Bloqueos,3.2,1.2,6.9,0.2,0.3,3.8,2.5,0.7
Ignacius Tschirasche,DET,Creador,Bloqueos,-2.2,9.9,15.9,2.8,4.6,8.8,1.8,0.1
Othelia Greenham,PHO,General,Reboteador,-0.9,11.9,10.2,6.2,4.3,0.8,8.5,3.9
Sonny Boughtflower,IND,General,Baja actividad,3.4,6.3,7.4,0.9,0.9,0.5,1.4,2.6
Valli Follin,NYK,Tirador estatico,Bloqueos,10.4,9.3,11.5,9.9,9.4,3.4,4.6,2.7
Marcie Benezet,BOS,Creador,Protector del aro,12.6,-2.0,8.1,4.1,7.5,6.4,7.5,4.0
Horst Burd,IND,Tirador estatico,Protector del aro,-1.4,-1.3,-2.1,7.4,8.0,8.7,5.0,0.9
Raye Venus,CHO,Tirador,Perimetral,4.4,4.9,16.3,1.5,0.3,4.0,8.0,2.2
Miranda Polhill,DAL,Creador,Reboteador,-3.4,11.2,7.2,0.1,3.2,7.4,6.3,2.8
Callida Torre,MIA,Creador,Perimetral,8.2,0.7,19.0,4.8,7.0,9.7,8.1,1.0
Judd Filyaev,MIN,Tirador estatico,Protector del aro,0.1,4.7,-4.4,0.5,8.5,8.8,1.6,2.5
Evangelina Nesbeth,ORL,Creador,Reboteador,4.7,2.2,26.4,2.2,9.5,1.3,7.7,2.8
Kerstin Dykas,IND,Roller,Perimetral,4.3,-2.9,18.8,7.2,4.2,5.0,9.0,3.3
Max Berthod,IND,Tirador,Reboteador,11.9,6.8,25.6,0.0,3.4,1.6,2.2,2.8
Porter Fomichkin,BOS,Tirador,Bloqueos,0.5,4.1,21.7,1.1,7.9,3.1,0.1,3.0
Charmian Mughal,MIN,Roller,Perimetral,2.1,2.5,6.2,5.6,9.9,3.3,6.6,0.9
Shepperd McKelvie,OKC,Creador,Protector del aro,6.5,-2.6,3.0,2.5,9.6,6.3,7.5,3.2
Maxie Piperley,CLE,Roller,Baja actividad,9.0,0.8,23.7,4.3,3.4,0.4,8.5,2.6
Linell Mytton,IND,Creador,Bloqueos,1.2,2.7,8.9,6.6,5.9,7.8,1.8,3.5
Leonanie Heads,ORL,Tirador estatico,Protector del aro,11.7,-1.0,14.2,2.1,2.6,8.1,8.6,3.8
Tandie Ormiston,BRK,Creador,Perimetral,-2.7,10.4,21.3,7.0,9.8,5.2,0.2,0.1
Caitlin Ivimey,ATL,Tirador estatico,Baja actividad,8.1,-0.4,15.0,1.4,8.7,3.9,4.0,2.0
Shadow Ayshford,BOS,Roller,Protector del aro,6.9,5.3,16.0,5.1,4.4,3.0,2.4,0.3
Aggie Kearford,WAS,Roller,Perimetral,6.1,1.4,-2.4,8.9,5.1,2.8,4.5,0.9
Craig Churms,BOS,Creador,Protector del aro,9.5,6.8,-6.0,1.2,1.0,1.2,0.4,0.4
Moishe Chaster,BRK,Tirador,Bloqueos,5.3,2.2,-2.3,6.5,1.7,5.2,8.9,2.4
Chantal Swayton,CHI,Roller,Perimetral,4.3,-0.1,16.3,7.6,1.3,4.0,4.9,3.9
Sanford Carr,DAL,Tirador estatico,Baja actividad,8.6,-0.6,-4.9,5.1,0.7,4.5,6.9,3.2
Gearard Wilson,BOS,Creador,Bloqueos,1.9,10.0,11.2,2.8,9.9,8.2,0.7,3.6
Andee Kimblin,MIL,General,Bloqueos,7.5,6.3,14.6,0.4,4.6,2.9,8.3,2.2
Fran Severn,WAS,Roller,Perimetral,14.3,-1.0,-1.0,9.3,6.9,8.3,8.9,3.9
Dietrich Daintry,ATL,Creador,Reboteador,14.8,6.3,-7.4,0.5,9.6,7.2,7.1,3.5
Leanor Langford,ATL,Creador,Perimetral,-3.4,10.5,13.6,5.0,5.2,9.4,1.1,1.0
Rupert Houdhury,IND,Creador,Baja actividad,12.5,6.9,-7.8,4.2,2.1,9.3,9.1,0.3
Maris Ciciura,TOR,General,Perimetral,-3.9,12.0,17.7,4.0,4.8,0.1,3.1,3.1
Tomaso Laurencot,CHO,General,Perimetral,9.1,3.1,-4.2,0.1,9.0,7.7,9.0,2.9
Bastien Bowdidge,MIA,Tirador estatico,Protector del aro,-2.3,3.0,4.3,4.9,0.5,9.5,3.1,2.3
Alden Rispen,CHI,Creador,Bloqueos,-4.4,7.7,17.7,4.9,2.7,4.6,3.0,3.1
Thornton Scholard,DAL,Roller,Bloqueos,-2.8,-2.7,15.8,7.3,0.2,3.0,6.3,0.8
Eamon Preece,PHI,Roller,Perimetral,5.9,3.8,23.8,1.0,7.4,0.2,7.2,1.5
Hermy Middleton,ATL,Tirador,Reboteador,11.7,0.1,19.3,6.5,1.1,7.5,7.5,0.6
Candie Hankard,ATL,Creador,Perimetral,0.6,3.3,26.3,5.7,8.0,8.0,8.6,2.6
Caressa Shale,CHO,Creador,Protector del aro,12.6,10.6,2.6,4.2,2.3,0.7,4.4,0.8
Audi Farlowe,DET,Roller,Protector del aro,3.4,-2.7,7.2,4.2,7.5,2.3,4.9,3.3
Kelly Giacomelli,IND,General,Baja actividad,11.3,1.0,1.4,5.5,0.9,7.7,7.6,3.6
Dionisio Rive,CHI,Tirador,Baja actividad,7.1,10.8,18.7,1.5,6.0,8.1,1.4,2.7
Edin Alcott,DAL,Creador,Protector del aro,2.1,-2.2,25.0,3.1,3.1,4.6,5.3,1.6
Jania McGirl,CHI,Roller,Protector del aro,-2.3,4.9,16.2,0.4,6.0,4.3,2.3,1.9
Bil Hencke,BOS,Tirador,Perimetral,1.8,8.2,21.2,5.6,3.1,7.4,8.7,1.1
Susan Riatt,WAS,General,Bloqueos,1.9,9.9,-4.4,4.6,1.6,6.9,1.7,1.6
Cornie Jerschke,CLE,Roller,Reboteador,13.5,8.2,24.5,2.9,0.8,9.2,7.4,3.3
Purcell Edgecombe,BOS,Roller,Bloqueos,5.5,9.9,23.1,4.5,2.4,3.8,5.4,0.4
Barde Winterbottom,MIA,Creador,Perimetral,9.7,9.2,10.4,9.6,1.0,2.5,5.8,0.5
Tandy Zeale,PHI,Roller,Reboteador,5.9,6.5,10.9,9.2,9.9,2.9,2.0,3.4
Tan Stovell,DAL,Tirador estatico,Baja actividad,-2.6,0.2,20.1,6.7,3.7,4.5,5.7,2.6
Emmery Oldroyde,PHO,Tirador,Perimetral,7.4,1.2,-6.5,6.8,9.6,7.6,6.3,2.9
Fairfax Bruckent,DAL,Tirador,Reboteador,-2.0,1.1,-6.0,2.6,8.0,0.1,1.2,2.5
Ellsworth Renyard,PHO,Roller,Baja actividad,5.2,2.2,24.7,6.1,8.4,5.4,8.9,3.9
Emmett Branscombe,MIA,Creador,Baja actividad,2.5,6.7,22.9,6.7,4.2,1.2,9.3,0.6
Raynor Parysowna,NYK,Creador,Perimetral,9.3,2.1,26.3,8.3,7.3,6.4,5.7,1.0
Issie Shiels,ATL,Tirador estatico,Baja actividad,14.1,0.7,12.3,0.3,4.2,5.1,5.6,0.1
Garwood De Antoni,IND,Creador,Reboteador,14.5,9.1,7.2,6.4,8.0,8.2,8.8,2.7
Curry Giannoni,MIA,Roller,Bloqueos,1.4,2.4,9.3,6.1,5.3,9.0,2.7,3.3
Teddie Monteith,ORL,Tirador estatico,Bloqueos,-3.5,5.1,17.6,2.6,1.2,2.6,2.5,2.5
Wye Gowling,NYK,Creador,Protector del aro,0.3,6.4,7.7,0.9,3.5,1.8,7.1,2.1
Gladi Christaeas,ATL,Tirador estatico,Protector del aro,1.6,10.3,21.1,5.8,7.6,1.3,6.1,1.4
Inger Kisbee,WAS,Creador,Reboteador,10.3,-1.2,22.7,2.2,9.2,8.1,0.4,2.7
Derrik Mudge,DET,Tirador estatico,Baja actividad,8.0,3.8,18.4,4.4,3.1,0.7,2.8,1.9
Quinlan Pastor,BRK,Roller,Bloqueos,8.0,11.7,15.7,7.8,3.9,7.3,5.1,0.9
Stanford Bonhome,TOR,Tirador,Reboteador,9.7,3.9,-5.6,8.8,0.4,9.2,3.9,1.3
Winni Hellicar,CHI,General,Bloqueos,3.9,7.7,23.4,3.8,9.2,9.9,1.1,3.6
Ambrosi Jones,DET,Roller,Bloqueos,14.1,-1.7,24.8,2.1,5.4,1.0,8.9,0.7
Barrett Neighbour,MIA,Tirador,Reboteador,3.3,10.3,-4.5,1.2,3.7,9.4,2.1,0.7
Ediva Gaunt,PHI,Roller,Baja actividad,6.9,8.0,12.7,1.8,5.5,8.3,1.3,1.1
Colline Tunnick,ATL,Tirador estatico,Protector del aro,7.3,5.7,4.9,2.3,9.0,2.2,8.1,2.0
Etan Haack,MIA,Tirador,Protector del aro,-3.5,5.1,23.3,5.6,4.8,2.1,1.2,2.4
Krissy Guiot,ORL,General,Protector del aro,4.9,-2.5,12.3,1.6,6.9,7.8,4.9,0.7
Bern Mulkerrins,ATL,Creador,Bloqueos,12.3,1.1,19.1,1.5,9.0,0.9,6.7,1.3
Clarance Auty,PHO,Creador,Bloqueos,2.0,0.8,0.4,5.1,1.9,0.0,7.7,2.3
Alejandra Ferreira,PHI,Roller,Perimetral,10.6,2.5,6.8,2.4,5.9,3.5,6.9,3.9
Lindsey Course,WAS,General,Protector del aro,-0.1,-2.2,5.5,2.4,1.5,1.0,8.5,3.5
Deloris Ribou,BOS,Roller,Bloqueos,13.0,8.9,16.7,4.4,1.9,7.3,9.2,3.6
Anabella Diack,TOR,Tirador estatico,Perimetral,4.2,1.9,13.6,7.9,7.7,5.5,8.7,1.8
Ken Troman,DEN,General,Perimetral,4.5,8.7,12.5,1.5,5.5,4.6,3.4,1.6
Emilia Dobinson,DAL,Roller,Reboteador,-3.9,-1.5,16.0,3.3,6.1,0.5,6.0,3.8
Shaun Zapatero,MIL,Creador,Bloqueos,13.8,8.1,21.6,1.1,3.1,9.4,0.5,1.9
Mathias Skoof,ATL,Creador,Bloqueos,-0.5,9.2,6.7,8.6,2.2,7.8,6.6,2.9
Ronna Pitrasso,DAL,Roller,Perimetral,8.4,9.0,-1.4,8.2,1.2,1.5,7.1,2.4
Beatriz Jaffa,WAS,Tirador estatico,Protector del aro,2.2,5.7,18.6,6.0,0.3,2.3,7.9,0.6
Jillie Fossey,DAL,General,Perimetral,-0.6,8.6,-4.8,3.5,4.8,5.5,2.1,3.2
Onfre Moseley,CLE,Tirador estatico,Reboteador,13.2,11.2,-1.7,0.8,3.4,1.6,4.8,3.1
Yevette Hearfield,DAL,Creador,Protector del aro,-4.2,-2.6,10.7,1.1,5.5,0.9,3.7,0.7
Trent Scafe,DEN,Roller,Reboteador,4.7,1.9,21.5,3.8,0.5,6.0,3.7,3.2
Alf Denney,CHO,Tirador estatico,Bloqueos,-4.6,-1.4,-3.9,7.4,5.5,4.1,5.5,3.7
Zeb Dongles,BRK,Tirador estatico,Reboteador,14.1,7.0,12.8,2.4,5.5,5.4,8.8,1.6
Enriqueta Bail,PHI,General,Bloqueos,-4.7,7.3,-4.4,8.1,3.8,6.6,0.5,3.5
Annabel Legging,DEN,Tirador estatico,Baja actividad,8.8,10.1,5.4,5.7,3.9,10.0,3.9,3.5
Stesha Silver,CHI,Tirador,Baja actividad,10.4,-2.0,-1.1,2.3,2.9,4.8,0.3,2.0
Conny Pynn,OKC,Tirador,Baja actividad,9.1,10.9,3.5,8.4,5.5,8.4,6.9,3.5
Dyann Ivie,MIL,Tirador,Reboteador,5.7,6.4,15.6,5.4,3.8,10.0,7.8,2.4
Lenard Saffin,DAL,Creador,Perimetral,9.5,6.0,-3.7,2.3,3.0,4.5,7.3,1.0
Brendis Dimic,IND,Tirador,Perimetral,-2.5,1.1,9.7,6.9,6.7,6.4,6.7,3.7
Morrie Wensley,CHO,Tirador estatico,Bloqueos,-2.7,10.1,17.9,0.3,7.3,4.6,2.1,1.5
Christean Gebuhr,BRK,Tirador estatico,Bloqueos,11.5,-1.5,3.2,9.4,6.9,4.5,6.2,1.6
Rockey Cadamy,BRK,General,Protector del aro,-4.8,7.9,2.0,0.6,1.4,4.8,6.8,1.8
Dana Novis,PHI,Creador,Reboteador,1.4,7.4,0.7,5.9,8.2,9.2,4.2,2.5
Emyle Muscat,ORL,General,Protector del aro,14.3,0.2,5.6,3.3,4.4,5.3,4.0,3.9
Codi Opie,ORL,Tirador,Reboteador,8.1,0.2,-7.9,2.8,5.3,4.5,9.8,1.8
Carney Heintzsch,IND,General,Baja actividad,-3.3,2.7,-8.0,1.8,3.7,5.7,7.2,1.9
Conant Nicolls,CHI,Tirador,Bloqueos,-2.7,8.9,10.5,2.8,2.5,5.6,7.1,2.5
Katha Chaters,WAS,Creador,Baja actividad,13.2,5.8,-5.1,8.2,3.9,4.2,7.5,2.1
Lewie Hedan,ORL,Roller,Reboteador,-0.4,2.3,17.4,7.2,6.3,8.5,3.8,2.0
Mike Zincke,NYK,Tirador,Baja actividad,9.5,4.3,1.8,1.8,6.5,8.4,4.5,3.5
Wanids Kibble,CHI,Tirador estatico,Baja actividad,10.8,1.8,20.9,8.3,3.4,8.4,6.4,0.2
Randa Bigglestone,BRK,Creador,Reboteador,5.5,6.5,22.0,2.7,6.3,3.1,7.6,1.1
Amitie Klyn,ORL,Creador,Reboteador,4.8,0.5,23.9,4.1,7.0,4.0,4.9,1.1
Conan Cardenosa,BOS,Tirador estatico,Protector del aro,-2.2,3.1,26.7,8.4,7.0,9.1,4.4,1.1
Kaye Goodhay,BRK,Roller,Perimetral,9.1,11.7,19.9,5.5,3.8,3.3,5.4,0.8
Marwin Handling,WAS,Roller,Perimetral,-2.0,4.7,2.1,3.5,2.4,8.0,2.2,1.3
Elonore Madgewick,WAS,General,Baja actividad,-0.5,-2.5,10.4,7.4,6.7,6.9,5.6,0.8
Aharon Tann,BRK,Tirador,Perimetral,11.5,0.6,-4.8,6.0,5.4,9.2,7.5,0.4
Bald Osbiston,BRK,Creador,Bloqueos,10.7,0.7,-7.3,8.3,0.5,10.0,4.0,2.2
